area,room_num,living_room_num,floor,distance_subway,price
85.7,2,1,10,1.3,181.2
63.7,1,1,8,2.1,115.6
141.2,4,2,29,0.3,382.4
98.3,2,1,15,1.6,221.1
79.2,2,1,11,1.9,165.8
132.9,3,2,26,0.4,335.7
66.8,1,1,7,2.3,123.9
113.3,3,2,19,0.7,276.8
91.1,2,1,13,1.4,194.2
73.6,2,1,6,1.7,151.3
127.6,3,2,23,0.5,312.9
60.6,1,1,4,2.6,89.7
105.2,3,1,17,0.9,246.5
86.9,2,1,11,1.3,183.7
65.4,1,1,9,2.2,118.3
137.3,4,2,28,0.3,362.1
94.7,2,1,14,1.5,207.9
75.3,2,1,8,1.8,152.3
126.1,3,2,24,0.5,307.8
58.8,1,1,3,2.5,92.8
100.7,3,1,15,0.8,234.2
84.3,2,1,10,1.2,173.1
70.9,2,1,7,1.6,142.5
129.6,3,2,25,0.4,322.9
67.6,1,1,6,2.1,125.1
114.2,3,2,18,0.7,278.6
92.3,2,1,12,1.4,195.3
74.7,2,1,5,1.7,149.8
122.3,3,2,21,0.6,296.4
59.8,1,1,4,2.4,95.8
106.1,3,1,16,0.9,247.9
87.4,2,1,11,1.3,184.8
64.9,1,1,8,2.0,117.4
138.9,4,2,27,0.3,371.5
96.3,2,1,13,1.5,213.4
77.5,2,1,9,1.8,160.8
128.7,3,2,24,0.5,315.7
61.5,1,1,3,2.7,90.2
111.2,3,2,18,0.8,267.8
89.1,2,1,14,1.2,187.4
72.3,2,1,6,1.6,146.1
133.1,3,2,25,0.4,332.4
68.5,1,1,9,2.2,126.3
116.4,3,2,20,0.7,283.5
93.5,2,1,12,1.4,200.1
75.1,2,1,7,1.8,152.9
124.8,3,2,22,0.6,303.6
57.3,1,1,5,2.3,87.9
103.3,3,1,16,0.9,241.2
85.3,2,1,10,1.3,178.5
63.3,1,1,8,2.0,114.1
140.1,4,2,29,0.3,376.8
97.4,2,1,15,1.6,217.6
78.3,2,1,11,1.9,163.2
131.9,3,2,26,0.4,330.5
66.4,1,1,7,2.3,121.7
112.8,3,2,19,0.7,274.9
90.7,2,1,13,1.4,192.6
73.2,2,1,6,1.7,148.2
127.1,3,2,23,0.5,310.4
60.2,1,1,4,2.5,88.6
104.9,3,1,17,0.9,245.3
86.1,2,1,11,1.3,181.9
65.5,1,1,9,2.2,117.9
136.4,4,2,28,0.3,357.3
94.2,2,1,14,1.5,206.5
74.8,2,1,8,1.8,150.5
125.6,3,2,24,0.5,304.9
58.4,1,1,3,2.5,91.4
101.8,3,1,15,0.8,237.9
84.5,2,1,10,1.2,175.3
71.1,2,1,7,1.6,143.2
129.3,3,2,25,0.4,321.8
67.2,1,1,6,2.1,123.5
113.7,3,2,18,0.7,276.3
92.9,2,1,12,1.4,196.7
74.1,2,1,5,1.7,148.6
121.9,3,2,21,0.6,294.8
59.3,1,1,4,2.4,93.9
105.7,3,1,16,0.9,247.1
87.6,2,1,11,1.3,183.5
64.4,1,1,8,2.0,115.8
139.1,4,2,27,0.3,367.9
95.8,2,1,13,1.5,211.7
76.9,2,1,9,1.8,158.4
128.2,3,2,24,0.5,313.1
61.1,1,1,3,2.6,89.8
110.3,3,2,18,0.8,265.9
88.7,2,1,14,1.2,186.1
71.8,2,1,6,1.6,144.9
132.6,3,2,25,0.4,330.1
68.1,1,1,9,2.2,125.5
115.9,3,2,20,0.7,281.7
93.1,2,1,12,1.4,198.9
74.9,2,1,7,1.8,151.6
124.3,3,2,22,0.6,301.2
57.8,1,1,5,2.3,88.1
102.9,3,1,16,0.9,239.1
85.5,2,1,10,1.3,177.8
63.8,1,1,8,2.0,113.7
140.7,4,2,29,0.3,380.2
97.9,2,1,15,1.6,220.3
78.8,2,1,11,1.9,164.7
131.4,3,2,26,0.4,328.1
66.9,1,1,7,2.3,122.3
112.3,3,2,19,0.7,272.5
90.3,2,1,13,1.4,191.1
72.8,2,1,6,1.7,146.8
126.7,3,2,23,0.5,308.6
60.7,1,1,4,2.5,89.2
104.4,3,1,17,0.9,243.7
86.3,2,1,11,1.3,180.5
65.1,1,1,9,2.2,116.5
135.9,4,2,28,0.3,354.8
93.8,2,1,14,1.5,204.1
74.4,2,1,8,1.8,149.1
125.1,3,2,24,0.5,302.3
58.0,1,1,3,2.4,90.1
100.3,3,1,15,0.8,232.7
83.9,2,1,10,1.2,172.4
70.6,2,1,7,1.6,141.1
128.9,3,2,25,0.4,319.3
67.3,1,1,6,2.1,122.7
113.2,3,2,18,0.7,274.1
91.9,2,1,12,1.4,193.9
73.9,2,1,5,1.7,147.9
121.5,3,2,21,0.6,293.2
59.5,1,1,4,2.3,94.2
105.3,3,1,16,0.9,245.8
87.1,2,1,11,1.3,182.1
64.6,1,1,8,2.0,114.9
138.5,4,2,27,0.3,368.4
95.4,2,1,13,1.5,210.2
76.5,2,1,9,1.8,157.1
127.8,3,2,24,0.5,311.4
61.7,1,1,3,2.6,90.9
110.9,3,2,18,0.8,266.4
88.3,2,1,14,1.2,185.5
72.0,2,1,6,1.6,144.3
132.2,3,2,25,0.4,327.6
68.7,1,1,9,2.2,125.9
115.5,3,2,20,0.7,280.3
92.7,2,1,12,1.4,197.5
74.6,2,1,7,1.8,150.3
123.9,3,2,22,0.6,300.4
57.5,1,1,5,2.3,87.5
102.5,3,1,16,0.9,237.6
85.1,2,1,10,1.3,176.2
63.4,1,1,8,2.0,112.3
140.3,4,2,29,0.3,374.5
97.0,2,1,15,1.6,215.9
78.0,2,1,11,1.9,162.1
130.8,3,2,26,0.4,325.9
66.5,1,1,7,2.3,120.1
111.8,3,2,19,0.7,270.7
89.9,2,1,13,1.4,190.8
72.4,2,1,6,1.7,145.2
126.3,3,2,23,0.5,306.1
60.3,1,1,4,2.4,88.9
104.0,3,1,17,0.9,242.2
85.9,2,1,11,1.3,179.1
65.7,1,1,9,2.2,117.1
135.5,4,2,28,0.3,352.4
93.4,2,1,14,1.5,202.7
73.9,2,1,8,1.8,147.5
124.7,3,2,24,0.5,300.8
58.5,1,1,3,2.4,91.8
101.4,3,1,15,0.8,235.4
84.1,2,1,10,1.2,171.8
70.8,2,1,7,1.6,140.7
128.5,3,2,25,0.4,317.7
67.0,1,1,6,2.1,121.3
112.7,3,2,18,0.7,272.9
91.5,2,1,12,1.4,192.3
73.5,2,1,5,1.7,146.4
121.1,3,2,21,0.6,291.6
59.0,1,1,4,2.3,92.5
105.0,3,1,16,0.9,244.3
86.7,2,1,11,1.3,181.3
64.1,1,1,8,2.0,113.5
138.1,4,2,27,0.3,365.8
95.0,2,1,13,1.5,208.5
76.1,2,1,9,1.8,155.6
127.4,3,2,24,0.5,309.9
61.3,1,1,3,2.5,89.4
110.4,3,2,18,0.8,264.5
88.0,2,1,14,1.2,184.0
71.4,2,1,6,1.6,143.4
131.8,3,2,25,0.4,325.4
68.3,1,1,9,2.2,124.1
115.1,3,2,20,0.7,278.9
92.3,2,1,12,1.4,195.9
74.3,2,1,7,1.8,149.1
123.5,3,2,22,0.6,298.9
57.9,1,1,5,2.3,87.2
102.1,3,1,16,0.9,238.2
84.7,2,1,10,1.3,175.0
63.0,1,1,8,2.0,111.9
140.9,4,2,29,0.3,378.9
97.5,2,1,15,1.6,218.8
78.5,2,1,11,1.9,163.6
130.3,3,2,26,0.4,323.3
66.1,1,1,7,2.3,119.5
111.4,3,2,19,0.7,269.1
89.5,2,1,13,1.4,189.3
72.2,2,1,6,1.7,144.7
125.9,3,2,23,0.5,304.5
60.5,1,1,4,2.4,88.5
103.6,3,1,17,0.9,240.8
85.5,2,1,11,1.3,177.4
65.3,1,1,9,2.2,115.7
135.1,4,2,28,0.3,350.0
93.0,2,1,14,1.5,201.3
73.5,2,1,8,1.8,146.0
124.3,3,2,24,0.5,299.2
58.1,1,1,3,2.3,89.7
100.9,3,1,15,0.8,233.3
83.5,2,1,10,1.2,170.2
70.3,2,1,7,1.6,139.3
128.1,3,2,25,0.4,315.1
66.7,1,1,6,2.1,120.9
112.2,3,2,18,0.7,271.3
91.1,2,1,12,1.4,191.0
73.1,2,1,5,1.7,145.0
120.7,3,2,21,0.6,289.0
58.7,1,1,4,2.2,91.1
104.6,3,1,16,0.9,243.0
86.0,2,1,11,1.3,178.7
64.3,1,1,8,1.9,112.8
137.7,4,2,27,0.3,363.3
94.6,2,1,13,1.5,206.8
75.7,2,1,9,1.8,154.3
126.9,3,2,24,0.5,307.4
61.0,1,1,3,2.5,88.8
109.9,3,2,18,0.8,263.1
87.6,2,1,14,1.2,183.6
71.6,2,1,6,1.6,142.0
131.4,3,2,25,0.4,322.8
68.0,1,1,9,2.1,123.3
114.7,3,2,20,0.7,276.5
92.0,2,1,12,1.4,194.5
74.0,2,1,7,1.8,148.3
123.1,3,2,22,0.6,296.7
57.6,1,1,5,2.2,86.8
101.7,3,1,16,0.9,236.7
84.3,2,1,10,1.3,173.6
62.6,1,1,8,1.9,110.5
140.5,4,2,29,0.3,376.1
96.6,2,1,15,1.6,214.0
77.6,2,1,11,1.9,161.0
129.9,3,2,26,0.4,321.2
65.8,1,1,7,2.2,118.9
111.0,3,2,19,0.7,267.5
89.1,2,1,13,1.4,187.9
71.9,2,1,6,1.7,143.8
125.5,3,2,23,0.5,302.9
60.0,1,1,4,2.3,87.6
103.2,3,1,17,0.9,239.4
85.2,2,1,11,1.3,176.8
64.9,1,1,9,2.1,114.3
134.7,4,2,28,0.3,347.6
92.6,2,1,14,1.5,199.9
73.1,2,1,8,1.8,144.6
123.9,3,2,24,0.5,297.5
57.3,1,1,3,2.2,88.3
100.5,3,1,15,0.8,231.9
82.9,2,1,10,1.2,168.8
69.9,2,1,7,1.5,138.5
127.7,3,2,25,0.4,313.5
66.4,1,1,6,2.0,119.7
111.8,3,2,18,0.7,269.7
90.7,2,1,12,1.3,189.7
72.7,2,1,5,1.6,143.1
120.3,3,2,21,0.6,287.4
58.4,1,1,4,2.1,90.5
104.2,3,1,16,0.9,241.6
85.6,2,1,11,1.2,175.9
63.8,1,1,8,1.8,111.7
137.3,4,2,27,0.3,360.7
94.2,2,1,13,1.4,204.4
75.3,2,1,9,1.7,152.5
126.5,3,2,24,0.5,305.0
60.6,1,1,3,2.4,88.0
109.5,3,2,18,0.8,261.7
87.2,2,1,14,1.1,182.2
71.2,2,1,6,1.5,140.9
131.0,3,2,25,0.4,320.3
67.7,1,1,9,2.0,122.1
114.3,3,2,20,0.6,274.9
91.6,2,1,12,1.3,193.1
73.6,2,1,7,1.6,146.7
122.7,3,2,22,0.5,295.1
57.2,1,1,5,2.1,86.4
101.3,3,1,16,0.8,235.1
84.0,2,1,10,1.2,171.0
62.3,1,1,8,1.8,109.2
140.1,4,2,29,0.3,373.5
96.2,2,1,15,1.5,212.2
77.2,2,1,11,1.8,159.6
129.5,3,2,26,0.4,318.6
65.5,1,1,7,2.1,117.5
110.6,3,2,19,0.6,265.9
88.7,2,1,13,1.3,186.5
71.5,2,1,6,1.6,142.4
125.1,3,2,23,0.5,300.5
59.7,1,1,4,2.2,89.3
102.8,3,1,17,0.8,238.0
84.9,2,1,11,1.2,174.7
64.5,1,1,9,2.0,113.1
134.3,4,2,28,0.3,345.2
92.2,2,1,14,1.4,198.3
72.7,2,1,8,1.7,143.5
123.5,3,2,24,0.5,296.1
57.0,1,1,3,2.1,87.0
100.1,3,1,15,0.7,230.5
82.5,2,1,10,1.1,167.2
69.6,2,1,7,1.5,137.1
127.3,3,2,25,0.3,311.9
66.1,1,1,6,1.9,118.3
111.4,3,2,18,0.6,268.1
90.3,2,1,12,1.2,188.1
72.3,2,1,5,1.5,141.5
119.9,3,2,21,0.5,285.8
58.1,1,1,4,2.0,89.7
103.9,3,1,16,0.8,240.2
85.3,2,1,11,1.1,175.3
63.4,1,1,8,1.7,110.0
136.9,4,2,27,0.3,358.1
93.8,2,1,13,1.3,202.8
74.9,2,1,9,1.6,151.1
126.1,3,2,24,0.4,303.5
60.3,1,1,3,2.3,87.8
109.1,3,2,18,0.7,260.3
86.8,2,1,14,1.1,181.0
70.9,2,1,6,1.4,139.7
130.6,3,2,25,0.3,318.9
67.4,1,1,9,1.9,121.0
113.9,3,2,20,0.6,273.3
91.2,2,1,12,1.2,191.7
73.2,2,1,7,1.5,144.9
122.3,3,2,22,0.5,293.5
56.8,1,1,5,2.0,85.9
101.0,3,1,16,0.8,234.3
83.6,2,1,10,1.1,169.4
62.0,1,1,8,1.7,108.6
139.7,4,2,29,0.3,371.2
95.8,2,1,15,1.4,210.6
76.8,2,1,11,1.7,157.8
129.1,3,2,26,0.3,316.0
65.2,1,1,7,2.0,116.7
110.2,3,2,19,0.6,264.3
88.3,2,1,13,1.2,185.1
71.1,2,1,6,1.5,141.0
124.7,3,2,23,0.4,298.9
59.4,1,1,4,2.1,88.5
102.4,3,1,17,0.8,236.4
84.5,2,1,11,1.1,173.3
64.1,1,1,9,1.9,111.7
133.9,4,2,28,0.3,342.8
91.8,2,1,14,1.3,196.7
72.3,2,1,8,1.6,142.1
123.1,3,2,24,0.4,294.7
56.6,1,1,3,2.0,85.6
99.7,3,1,15,0.7,229.1
82.1,2,1,10,1.0,165.6
69.2,2,1,7,1.4,135.7
126.9,3,2,25,0.3,310.3
65.8,1,1,6,1.8,117.0
111.0,3,2,18,0.5,266.5
89.9,2,1,12,1.1,186.9
71.9,2,1,5,1.4,140.1
119.5,3,2,21,0.4,284.2
57.8,1,1,4,1.9,88.9
103.5,3,1,16,0.7,238.6
84.6,2,1,11,1.0,173.9
63.0,1,1,8,1.6,108.2
136.5,4,2,27,0.3,355.7
93.4,2,1,13,1.2,201.2
74.5,2,1,9,1.5,149.7
125.7,3,2,24,0.4,301.9
60.0,1,1,3,2.2,86.6
108.7,3,2,18,0.6,258.9
86.4,2,1,14,1.0,179.6
70.5,2,1,6,1.3,138.3
130.2,3,2,25,0.3,317.3
67.1,1,1,9,1.8,120.2
113.5,3,2,20,0.5,271.7
90.8,2,1,12,1.1,190.3
72.8,2,1,7,1.4,143.3
121.9,3,2,22,0.4,291.9
56.5,1,1,5,1.9,85.1
100.6,3,1,16,0.7,232.9
83.2,2,1,10,0.9,168.0
61.7,1,1,8,1.5,107.8
139.3,4,2,29,0.3,368.8
95.4,2,1,15,1.3,209.0
76.4,2,1,11,1.6,156.0
128.7,3,2,26,0.3,313.4
64.9,1,1,7,1.9,115.9
109.8,3,2,19,0.5,262.7
87.9,2,1,13,1.1,183.7
70.7,2,1,6,1.3,138.9
124.3,3,2,23,0.4,297.3
59.1,1,1,4,2.0,87.7
102.0,3,1,17,0.7,234.8
84.1,2,1,11,0.9,172.0
63.7,1,1,9,1.8,110.5
133.5,4,2,28,0.3,340.4
91.4,2,1,14,1.2,195.1
71.9,2,1,8,1.5,140.7
122.7,3,2,24,0.4,293.3
56.3,1,1,3,1.9,84.3
99.3,3,1,15,0.6,227.7
81.7,2,1,10,0.9,164.0
68.8,2,1,7,1.3,134.3
126.5,3,2,25,0.3,308.7
65.4,1,1,6,1.7,115.4
110.6,3,2,18,0.5,265.1
89.5,2,1,12,1.0,185.5
71.5,2,1,5,1.3,139.5
119.1,3,2,21,0.4,282.6
57.5,1,1,4,1.8,87.9
103.1,3,1,16,0.6,237.2
84.2,2,1,11,0.9,172.5
62.6,1,1,8,1.4,106.4
136.1,4,2,27,0.3,353.3
93.0,2,1,13,1.1,199.6
74.1,2,1,9,1.4,148.3
125.3,3,2,24,0.4,299.3
59.7,1,1,3,2.1,86.2
108.3,3,2,18,0.5,257.5
86.0,2,1,14,0.9,178.2
70.1,2,1,6,1.2,136.9
129.8,3,2,25,0.3,315.7
66.8,1,1,9,1.7,118.4
113.1,3,2,20,0.4,269.1
90.4,2,1,12,1.0,188.7
72.4,2,1,7,1.3,142.0
121.5,3,2,22,0.4,290.3
56.2,1,1,5,1.8,84.6
100.2,3,1,16,0.6,231.3
82.8,2,1,10,0.8,166.4
61.3,1,1,8,1.4,105.9
138.9,4,2,29,0.3,366.5
95.0,2,1,15,1.2,207.4
76.0,2,1,11,1.5,154.4
128.3,3,2,26,0.3,311.8
64.5,1,1,7,1.8,114.3
109.4,3,2,19,0.5,261.1
87.5,2,1,13,1.0,182.3
70.3,2,1,6,1.2,137.5
123.9,3,2,23,0.4,295.7
58.8,1,1,4,1.9,86.9
101.6,3,1,17,0.6,233.2
83.7,2,1,11,0.8,170.6
63.3,1,1,9,1.7,109.1
133.1,4,2,28,0.3,338.0
91.0,2,1,14,1.1,193.5
71.5,2,1,8,1.4,139.3
122.3,3,2,24,0.4,291.7
56.0,1,1,3,1.8,83.5
98.9,3,1,15,0.6,226.3
81.3,2,1,10,0.8,162.4
68.4,2,1,7,1.2,132.9
126.1,3,2,25,0.3,307.1
65.1,1,1,6,1.6,113.8
110.2,3,2,18,0.5,263.5
89.1,2,1,12,0.9,184.1
71.1,2,1,5,1.2,138.1
118.7,3,2,21,0.3,281.0
57.2,1,1,4,1.7,87.1
102.7,3,1,16,0.6,235.6
83.8,2,1,11,0.8,171.1
62.2,1,1,8,1.3,105.0
135.7,4,2,27,0.3,350.9
92.6,2,1,13,1.0,198.0
73.7,2,1,9,1.3,146.9
124.9,3,2,24,0.4,297.7
59.4,1,1,3,2.0,85.4
107.9,3,2,18,0.5,256.1
85.6,2,1,14,0.8,176.8
69.7,2,1,6,1.1,135.5
129.4,3,2,25,0.3,314.1
66.5,1,1,9,1.6,117.6
112.7,3,2,20,0.4,267.5
90.0,2,1,12,0.9,187.3
72.0,2,1,7,1.2,140.7
121.1,3,2,22,0.3,288.7
55.9,1,1,5,1.7,83.8
99.8,3,1,16,0.5,229.7
82.4,2,1,10,0.7,164.8
60.9,1,1,8,1.3,104.5
138.5,4,2,29,0.3,364.2
94.6,2,1,15,1.1,205.8
75.6,2,1,11,1.4,152.8
127.9,3,2,26,0.3,309.2
64.1,1,1,7,1.7,112.7
109.0,3,2,19,0.4,259.5
87.1,2,1,13,0.9,180.9
69.9,2,1,6,1.1,136.1
123.5,3,2,23,0.3,294.1
58.4,1,1,4,1.8,86.1
101.2,3,1,17,0.5,231.6
83.3,2,1,11,0.7,169.2
62.9,1,1,9,1.6,107.7
132.7,4,2,28,0.3,335.6
90.6,2,1,14,1.0,191.9
71.1,2,1,8,1.3,138.0
121.9,3,2,24,0.3,289.1
55.7,1,1,3,1.7,82.7
98.5,3,1,15,0.5,224.9
80.9,2,1,10,0.7,160.8
68.0,2,1,7,1.1,131.5
125.7,3,2,25,0.3,305.5
64.8,1,1,6,1.5,112.2
109.8,3,2,18,0.4,262.3
88.7,2,1,12,0.8,182.9
70.7,2,1,5,1.1,136.7
118.3,3,2,21,0.3,279.4
56.9,1,1,4,1.6,86.3
102.3,3,1,16,0.5,234.0
83.4,2,1,11,0.7,169.7
61.8,1,1,8,1.2,103.6
205.3,4,2,20,0.9,520.7  # 异常值（面积>200）
198.7,3,2,15,1.2,498.3  # 异常值（面积>200）
210.5,4,2,25,0.6,556.8  # 异常值（面积>200）
50.2,1,1,2,3.1,78.5
45.6,1,1,3,3.5,69.8
185.3,3,2,28,0.4,420.6
172.5,3,2,22,0.7,385.2
168.9,3,2,18,0.9,362.8
156.4,3,2,14,1.1,330.5
148.7,2,2,10,1.3,305.4
139.2,2,2,8,1.5,280.3
128.6,2,2,6,1.7,256.9
119.8,2,2,4,1.9,235.7
108.3,2,2,2,2.1,210.4
97.5,2,1,30,2.3,198.2
86.9,2,1,29,2.5,182.7
75.3,1,1,28,2.7,160.5
64.8,1,1,27,2.9,142.3
53.2,1,1,26,3.2,120.8
NaN,2,1,15,1.0,189.3  # 缺失值
89.6,NaN,1,12,1.2,175.6  # 缺失值
92.3,2,NaN,9,1.4,183.2  # 缺失值
87.5,2,1,NaN,1.6,178.9  # 缺失值
90.1,2,1,11,NaN,181.5  # 缺失值
85.7,2,1,13,1.8,176.3
79.2,2,1,16,2.0,165.8
73.6,1,1,19,2.2,148.6
68.1,1,1,22,2.4,132.4
57.5,1,1,25,2.6,115.2
46.9,1,1,23,2.8,98.0
192.4,4,2,21,0.8,456.9  # 异常值（面积>200）
208.7,4,2,24,0.5,542.3  # 异常值（面积>200）
